City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,partur,19.6,76.2167,294.17,44,0,2.11,IN,1678237917
84,busselton,-33.65,115.3333,292.64,48,100,6.02,AU,1678237918
85,esperance,-33.8667,121.9,291.95,66,100,3.21,AU,1678237918
86,novogurovskiy,54.4678,37.3428,263.23,100,100,1.37,RU,1678237919
87,ilulissat,69.2167,-51.1,271.16,37,41,16.98,GL,1678237919
88,margate,51.3813,1.3862,278.09,91,100,0.45,GB,1678237664
89,camacha,33.0833,-16.3333,288.83,94,20,1.03,PT,1678237920
90,aswan,24.0934,32.907,291.02,24,0,5.86,EG,1678237921
91,bluff,-46.6,168.3333,296.37,68,0,1.51,NZ,1678237854
92,antofagasta,-23.65,-70.4,297.75,72,76,1.68,CL,1678237922
93,cairns,-16.9167,145.7667,304.88,80,39,3.6,AU,1678237922
94,pisco,-13.7,-76.2167,297.18,83,0,3.6,PE,1678237923
95,mahebourg,-20.4081,57.7,297.18,81,62,6.16,MU,1678237924
96,cape town,-33.9258,18.4232,293.36,80,5,4.92,ZA,1678237720
97,tezu,27.9167,96.1667,293.97,34,2,1.32,IN,1678237924
98,srikakulam,18.3,83.9,296.7,66,100,1.6,IN,1678237925
99,bethel,41.3712,-73.414,274.68,57,20,8.23,US,1678237925
100,porbandar,21.6422,69.6093,296.05,62,0,3.58,IN,1678237926
101,olafsvik,64.8945,-23.7142,267.25,67,100,15.14,IS,1678237926
102,avarua,-21.2078,-159.775,300.18,89,75,5.14,CK,1678237927
103,qaanaaq,77.484,-69.3632,258.76,91,78,2.15,GL,1678237927
104,ayan,56.45,138.1667,262.36,72,100,0.61,RU,1678237928
105,eyl,7.9803,49.8164,296.86,81,34,4.75,SO,1678237928
106,hamilton,39.1834,-84.5333,280.06,42,0,6.69,US,1678237795
107,trinidad,-14.8333,-64.9,297.13,96,23,1.87,BO,1678237929
108,kahului,20.8947,-156.47,300.35,63,40,12.86,US,1678237929
109,genhe,50.7833,121.5167,262.15,87,100,1.51,CN,1678237930
110,nizhnevartovsk,60.9344,76.5531,249.27,84,0,2.0,RU,1678237874
111,pingliang,35.5392,106.6861,284.38,29,10,1.19,CN,1678237930
112,fare,-16.7,-151.0167,301.29,71,37,5.14,PF,1678237931
113,boyuibe,-20.4167,-63.2833,294.67,96,100,1.33,BO,1678237875
114,pacific grove,36.6177,-121.9166,284.83,66,6,3.13,US,1678237932
115,lenger,42.183,69.8839,282.84,43,100,1.19,KZ,1678237932
116,caravelas,-17.7125,-39.2481,297.79,87,4,1.79,BR,1678237933
117,ternate,0.8,127.4,301.09,73,9,1.78,ID,1678237933
118,beringovskiy,63.05,179.3167,253.85,83,70,0.2,RU,1678237933
119,moindou,-21.6924,165.677,301.41,55,3,2.16,NC,1678237934
120,victor harbor,-35.5667,138.6167,289.64,65,89,5.45,AU,1678237934
121,dharmadam,11.7833,75.4333,296.87,47,94,2.51,IN,1678237935
122,havoysund,70.9963,24.6622,266.28,78,94,4.76,NO,1678237935
123,arumbavur,11.3833,78.7333,293.0,92,16,1.63,IN,1678237936
124,buala,-8.145,159.5921,301.94,74,93,0.92,SB,1678237936
125,lompoc,34.6391,-120.4579,286.36,66,75,8.23,US,1678237822
126,half moon bay,37.4636,-122.4286,285.62,62,0,4.12,US,1678237937
127,ca mau,9.1769,105.15,298.97,67,6,3.67,VN,1678237938
128,ontario,34.0633,-117.6509,289.14,53,0,6.26,US,1678237938
129,bahar,34.9072,48.4414,280.8,76,100,0.91,IR,1678237939
130,saint-philippe,-21.3585,55.7679,298.32,86,89,5.08,RE,1678237939
131,mandalgovi,45.7625,106.2708,274.06,36,22,8.0,MN,1678237940
132,solnechnyy,50.7214,136.6319,266.32,75,16,2.85,RU,1678237940
133,chokurdakh,70.6333,147.9167,238.54,99,64,0.82,RU,1678237941
134,husavik,66.0449,-17.3389,265.75,89,100,8.28,IS,1678237941
135,nabire,-3.3667,135.4833,302.65,62,100,0.94,ID,1678237942
136,inuvik,68.3499,-133.7218,254.32,86,18,7.09,CA,1678237942
137,iguape,-24.7081,-47.5553,298.23,81,10,2.5,BR,1678237849
138,castro,-24.7911,-50.0119,290.71,87,23,2.55,BR,1678237943
139,longyearbyen,78.2186,15.6401,260.06,66,40,9.26,SJ,1678237944
140,mollendo,-17.0231,-72.0147,297.16,78,37,1.83,PE,1678237944
141,kruisfontein,-34.0033,24.7314,293.64,95,0,1.16,ZA,1678237945
142,bambous virieux,-20.3428,57.7575,297.16,81,64,6.26,MU,1678237945
143,bubaque,11.2833,-15.8333,297.96,70,100,6.48,GW,1678237945
144,iqaluit,63.7506,-68.5145,265.76,92,10,4.47,CA,1678237946
145,praia,14.9215,-23.5087,295.76,73,1,5.2,CV,1678237946
146,saldanha,-33.0117,17.9442,289.64,91,1,6.06,ZA,1678237947
147,balkanabat,39.5108,54.3671,280.85,90,10,0.8,TM,1678237755
148,koulamoutou,-1.1303,12.4736,295.71,98,100,1.28,GA,1678237948
149,tomislavgrad,43.7181,17.2267,276.93,98,100,3.84,BA,1678237948
150,sarangani,5.4033,125.4636,300.33,75,2,1.39,PH,1678237949
151,vestmannaeyjar,63.4427,-20.2734,268.22,56,9,7.38,IS,1678237949
152,kaitangata,-46.2817,169.8464,296.17,53,100,2.45,NZ,1678237950
153,touros,-5.1989,-35.4608,299.73,79,80,6.79,BR,1678237950
154,port hawkesbury,45.6169,-61.3485,273.25,85,100,4.47,CA,1678237924
155,sao joao da barra,-21.6403,-41.0511,298.52,85,100,8.34,BR,1678237951
156,jieshi,22.8134,115.8257,291.94,78,7,2.34,CN,1678237951
157,saint-michel-des-saints,46.6834,-73.9159,267.0,91,100,4.51,CA,1678237952
158,souillac,-20.5167,57.5167,298.63,84,79,5.76,MU,1678237952
159,narsaq,60.9167,-46.05,275.27,71,92,3.92,GL,1678237953
160,prestea,5.4327,-2.1428,296.83,93,65,1.39,GH,1678237953
161,victoria,22.2855,114.1577,295.18,84,40,2.68,HK,1678237954
162,namatanai,-3.6667,152.4333,300.26,80,100,2.35,PG,1678237954
163,poum,-20.2333,164.0167,300.64,68,4,8.56,NC,1678237955
164,srednekolymsk,67.45,153.6833,245.17,89,100,2.92,RU,1678237955
165,san juan,-31.5375,-68.5364,302.17,36,0,4.06,AR,1678237779
166,abu kamal,34.4506,40.9171,288.41,39,100,2.11,SY,1678237956
167,sabzevar,36.2126,57.6819,284.92,65,14,2.09,IR,1678237957
168,vaini,-21.2,-175.2,302.24,61,20,4.63,TO,1678237957
169,port hardy,50.6996,-127.4199,279.54,78,29,4.48,CA,1678237957
170,klaksvik,62.2266,-6.589,270.66,54,100,10.83,FO,1678237958
171,morden,49.1919,-98.1014,260.06,94,100,3.59,CA,1678237958
172,bayir,37.2687,28.2167,278.44,83,23,1.29,TR,1678237959
173,cam ranh,11.9214,109.1591,296.13,64,20,3.09,VN,1678237959
174,coahuayana,18.7333,-103.6833,295.83,79,35,2.02,MX,1678237960
175,raudeberg,61.9875,5.1352,269.79,59,83,3.32,NO,1678237960
176,geraldton,-28.7667,114.6,298.38,69,40,1.54,AU,1678237961
177,samarai,-10.6167,150.6667,302.56,68,3,2.42,PG,1678237961
178,hobyo,5.3505,48.5268,299.17,73,61,6.2,SO,1678237961
179,sur,22.5667,59.5289,297.43,47,0,3.24,OM,1678237962
180,puerto ayora,-0.7393,-90.3518,297.9,95,100,2.68,EC,1678237962
181,tuy hoa,13.0833,109.3,295.19,78,93,2.66,VN,1678237963
182,fayaoue,-20.65,166.5333,299.63,62,12,6.51,NC,1678237963
183,baykit,61.67,96.37,257.6,100,98,1.13,RU,1678237964
184,san estanislao,10.3983,-75.1511,299.09,75,75,4.32,CO,1678237964
185,kiunga,-6.1219,141.2906,304.39,55,98,1.95,PG,1678237965
186,tarakan,3.3,117.6333,301.87,74,40,3.09,ID,1678237965
187,tiksi,71.6872,128.8694,249.19,94,100,2.57,RU,1678237965
188,rio gallegos,-51.6226,-69.2181,282.66,68,49,7.95,AR,1678237966
189,constitucion,-35.3333,-72.4167,287.11,95,100,0.31,CL,1678237966
190,faya,18.3851,42.4509,286.44,63,23,1.0,SA,1678237967
191,kodiak,57.79,-152.4072,281.88,66,0,9.26,US,1678237967
192,kualakapuas,-3.0091,114.3876,300.37,81,98,0.32,ID,1678237968
193,chiredzi,-21.05,31.6667,292.0,94,2,1.6,ZW,1678237968
194,buraydah,26.326,43.975,292.78,46,100,6.14,SA,1678237967
195,nelson bay,-32.7167,152.15,302.64,34,39,1.34,AU,1678237969
196,tecoanapa,16.5167,-98.75,298.83,77,0,4.08,MX,1678237970
197,yankton,42.8711,-97.3973,272.66,93,100,2.57,US,1678237970
198,yining,29.0361,114.5636,290.26,82,100,0.31,CN,1678237971
199,salalah,17.0151,54.0924,296.2,35,0,2.06,OM,1678237971
200,avera,33.194,-82.5271,293.88,45,0,4.59,US,1678237753
201,north platte,41.1239,-100.7654,272.09,90,100,2.06,US,1678237972
202,sarahan,31.5167,77.8,277.19,39,2,4.2,IN,1678237972
203,shelburne,44.0787,-80.2041,272.11,62,6,9.49,CA,1678237853
